Date,Open,High,Low,Close,Adj Close,Volume
2005-01-01,316.500000,316.500000,287.000000,291.000000,284.278290,63305
2005-02-01,294.000000,296.049988,278.850006,278.850006,272.408783,53640
2005-03-01,280.000000,285.920013,267.000000,269.500000,263.347809,29965
2005-04-01,269.890015,282.720001,267.000000,282.720001,276.265961,29300
2005-05-01,276.130005,287.859985,272.709991,281.119995,275.148895,56125
2005-06-01,279.589996,279.929993,266.790009,268.329987,262.706299,48205
2005-07-01,265.709991,282.910004,264.880005,273.000000,267.278503,63230
2005-08-01,288.390015,294.779999,220.000000,291.350006,285.243805,153150
2005-09-01,307.679993,307.679993,271.899994,276.130005,270.417511,166970
2005-10-01,274.470001,277.700012,262.559998,275.640015,269.937653,39085
2005-11-01,279.390015,302.290009,279.390015,293.500000,287.428253,87950
2005-12-01,295.500000,299.309998,279.640015,279.640015,273.930511,61870
2006-01-01,280.519989,296.989990,227.029999,294.000000,287.997284,63020
2006-02-01,285.859985,289.130005,273.369995,282.679993,276.908386,43225
2006-03-01,283.109985,302.149994,281.179993,300.200012,294.165375,121575
2006-04-01,300.579987,309.500000,267.839996,267.839996,262.855988,71155
2006-05-01,264.279999,268.119995,249.949997,257.000000,252.217651,219320
2006-06-01,257.070007,268.459991,243.970001,268.459991,263.556549,87530
2006-07-01,262.829987,267.359985,245.429993,267.359985,262.476593,101820
2006-08-01,266.709991,283.000000,260.579987,283.000000,277.830963,74942
2006-09-01,278.000000,304.190002,276.170013,304.190002,298.735046,57940
2006-10-01,299.380005,315.359985,296.000000,308.470001,302.938293,72550
2006-11-01,310.000000,329.700012,302.380005,325.899994,320.055573,103375
2006-12-01,319.200012,335.570007,313.410004,327.149994,321.383301,45220
2007-01-01,327.200012,347.000000,321.839996,340.070007,334.075500,76110
2007-02-01,341.500000,341.500000,309.470001,310.119995,304.653503,99140
2007-03-01,319.100006,319.100006,302.619995,306.760010,301.352692,46440
2007-04-01,305.799988,332.000000,305.799988,329.000000,323.200714,113005
2007-05-01,333.470001,336.470001,327.350006,334.000000,328.112640,100100
2007-06-01,327.000000,333.000000,320.920013,320.920013,315.263092,9960
2007-07-01,326.000000,339.970001,314.429993,320.000000,314.359253,141515
2007-08-01,325.190002,325.190002,310.519989,318.320007,312.708832,32585
2007-09-01,318.059998,320.000000,312.880005,320.000000,314.359253,23825
2007-10-01,327.250000,396.000000,326.000000,396.000000,389.019531,43725
2007-11-01,394.429993,394.429993,359.589996,359.589996,353.251434,38740
2007-12-01,366.000000,395.000000,360.000000,389.299988,382.437683,202410
2008-01-01,385.000000,385.000000,336.440002,342.899994,336.855682,73345
2008-02-01,331.700012,331.700012,294.450012,294.450012,289.259735,121715
2008-03-01,294.000000,312.839996,290.549988,301.799988,296.480072,54940
2008-04-01,310.779999,334.100006,296.100006,299.790009,294.505554,444870
