Date,Open,High,Low,Close,Adj Close,Volume
2005-01-01,12.592300,52.767101,12.592300,52.767101,46.348320,18200
2005-02-01,13.191800,52.767101,13.191800,52.767101,46.348320,2100000
2005-03-01,13.191800,16.830400,13.191800,16.805000,14.760779,700000
2005-04-01,16.805000,68.777100,14.142900,56.571400,49.689846,738325
2005-05-01,14.142900,54.004299,13.501100,54.004299,47.435017,412650
2005-06-01,13.501100,13.501100,13.501100,13.501100,11.858776,0
2005-07-01,13.501100,66.531403,13.501100,66.531403,58.438286,70000
2005-08-01,16.632900,73.328598,16.310699,71.085701,62.438572,257775
2005-09-01,17.771400,81.357101,17.771400,78.975700,69.368790,38325
2005-10-01,19.743900,81.271400,19.743900,81.271400,71.385254,20650
2005-11-01,20.317900,104.514000,20.317900,102.206001,89.773315,120750
2005-12-01,25.551399,113.681000,25.551399,113.681000,99.852440,50925
2006-01-01,28.420401,129.759003,27.157101,110.314003,96.895012,187950
2006-02-01,27.578600,108.286003,25.989300,106.642998,93.670547,198450
2006-03-01,26.660700,104.843002,23.158899,98.857101,86.831764,868525
2006-04-01,24.250000,28.428600,23.850000,28.107100,24.688053,2104900
2006-05-01,28.107100,113.598999,25.294600,101.429001,89.090820,902300
2006-06-01,24.941099,24.941099,23.492901,23.885700,20.980156,179620
2006-07-01,23.885700,114.286003,20.049999,114.286003,100.383835,2479925
2006-08-01,26.000000,29.285700,24.464300,26.139299,22.959621,714280
2006-09-01,28.214300,30.527500,27.723200,30.071400,26.413406,551180
2006-10-01,29.371099,31.692101,28.806400,31.055000,27.277361,1470840
2006-11-01,30.428600,36.571400,30.330400,36.214298,31.809055,1033900
2006-12-01,36.214298,144.714005,30.357100,130.285995,114.437561,608300
2007-01-01,32.571400,153.000000,32.571400,134.856995,118.452515,3436300
2007-02-01,33.714298,144.285995,32.511398,135.438995,118.963707,16493085
2007-03-01,35.000000,37.913898,34.101799,36.589298,32.138447,1790040
2007-04-01,36.787102,39.413601,35.566799,39.413601,34.619202,3268580
2007-05-01,39.413601,184.789001,39.101101,184.714005,162.244736,1742125
2007-06-01,45.892899,49.491798,45.357101,47.767899,41.957253,1149708
2007-07-01,47.049301,57.861099,46.857101,52.964600,46.521797,2669380
2007-08-01,51.241402,54.637100,45.285702,54.637100,47.990860,2142840
2007-09-01,50.892899,60.441399,50.892899,60.077900,52.769817,540540
2007-10-01,60.456402,72.535698,60.456402,72.392899,63.586739,3542700
2007-11-01,72.285698,74.107101,60.785702,71.099998,62.451145,4403700
2007-12-01,71.107101,78.599602,68.928596,77.949997,68.467896,1313060
2008-01-01,77.949997,312.217010,47.857101,210.643005,185.019623,6803195
2008-02-01,51.571400,52.435699,44.535702,47.982101,42.145393,14495880
2008-03-01,46.275002,55.357101,45.357101,54.607101,47.964485,15588160
2008-04-01,55.357101,67.071404,54.446400,65.723602,57.728745,22249416
2008-05-01,65.723602,286.072998,64.330399,279.286011,245.312653,5346635
2008-06-01,68.750000,69.892899,61.435699,62.459301,54.861534,3986640
2008-07-01,63.333900,66.285698,53.551800,56.890400,49.970047,1786288
2008-08-01,55.866100,65.241096,55.517899,62.321400,54.740402,2132704
2008-09-01,62.321400,259.128998,41.071400,177.529007,155.933762,3075975
2008-10-01,42.500000,50.610699,36.982101,50.000000,43.917824,2261700
2008-11-01,50.000000,50.000000,40.575699,43.776798,38.451630,668220
2008-12-01,44.803600,48.214298,40.392899,42.500000,37.330147,1948940
2009-01-01,42.500000,190.712997,39.724998,188.014008,165.143280,1414700
2009-02-01,47.003601,207.570999,45.714298,194.343002,170.702377,929075
2009-03-01,48.546101,54.946400,45.153900,52.796398,46.374062,1184960
2009-04-01,53.571400,62.567902,53.571400,62.289299,54.712208,1182720
2009-05-01,62.289299,255.339005,57.410000,253.856995,222.976898,1151500
2009-06-01,65.303596,69.355400,63.272499,66.647903,58.540623,939400
2009-07-01,67.556801,77.857101,64.193901,77.571404,68.135353,962920
2009-08-01,77.367500,81.250000,74.066101,80.285698,70.519417,999628
2009-09-01,81.332100,89.785698,80.321404,89.750000,78.832474,1162560
2009-10-01,88.928596,96.535698,86.925003,89.428596,78.550179,1867824
2009-11-01,89.428596,385.713989,89.107101,371.557007,326.359436,839475
2009-12-01,93.035698,98.916397,85.642899,98.750000,86.737694,1164520
2010-01-01,98.750000,396.427002,89.107101,357.143005,313.698883,2883300
2010-02-01,89.285698,378.571014,89.285698,374.286011,328.756561,1718675
2010-03-01,94.723198,105.115997,94.723198,104.107002,91.443047,1748376
2010-04-01,104.107002,476.710999,103.250000,465.856995,409.188416,2173745
2010-05-01,116.679001,117.210999,108.786003,115.304001,101.278000,2388820
2010-06-01,120.820999,123.710999,110.713997,115.642998,101.575783,1347108
2010-07-01,114.278999,120.190002,111.213997,116.500000,102.328545,2215304
2010-08-01,117.125000,119.642998,110.713997,114.786003,100.823021,810824
2010-09-01,115.713997,131.500000,115.607002,128.214005,112.617592,1824704
2010-10-01,127.107002,151.106995,125.000000,132.856995,116.695808,2491440
2010-11-01,133.929001,141.393005,128.570999,138.714005,121.840317,1412068
2010-12-01,139.643005,145.809998,139.089005,141.785995,124.538643,955220
2011-01-01,143.893005,150.427994,140.000000,146.738998,128.889130,3150868
2011-02-01,147.729004,157.481995,146.505005,152.365005,133.830780,2704072
2011-03-01,152.714996,154.434006,141.328995,147.798004,129.819336,2109688
2011-04-01,147.766006,147.766006,134.660995,144.580002,126.992821,1655780
2011-05-01,143.214005,146.485001,138.796997,143.214005,125.792946,2809044
2011-06-01,141.429001,145.429001,132.669006,140.356995,123.283470,2291548
2011-07-01,139.893005,167.606995,139.893005,164.000000,144.050476,2481780
2011-08-01,166.106995,176.070999,153.570999,169.285995,148.693466,2941288
2011-09-01,169.106995,203.029999,163.570999,189.285995,166.260559,2108260
2011-10-01,187.500000,203.035995,176.070999,193.570999,170.024307,2607276
2011-11-01,192.688004,194.035995,26.326500,185.845001,163.238159,2492952
2011-12-01,187.856995,204.285995,27.397900,202.000000,177.427979,937048
2012-01-01,203.570999,212.570999,197.000000,212.500000,186.650742,3897264
2012-02-01,210.714005,249.964005,29.709200,248.927994,218.647491,3641204
2012-03-01,248.927994,282.518005,35.178600,274.606995,241.202850,7494480
2012-04-01,278.606995,302.143005,40.704102,271.250000,238.254166,7041356
2012-05-01,38.750000,296.356995,38.750000,295.821014,259.836273,5006876
2012-06-01,291.643005,294.071014,275.428986,278.393005,244.528320,2600808
2012-07-01,278.214996,296.553986,271.994995,289.963989,254.691757,3520440
2012-08-01,290.468994,320.713989,287.143005,313.928986,275.741547,3370696
2012-09-01,313.027008,323.786011,303.571014,307.589996,272.655945,3654196
2012-10-01,307.730011,309.286011,275.000000,278.381012,246.764389,8916432
2012-11-01,277.571014,281.036011,240.000000,269.960999,239.300674,9078552
2012-12-01,273.540985,273.540985,228.572006,245.360001,219.654068,8655808
2013-01-01,245.360001,252.796005,198.750000,207.304993,185.585983,12574408
2013-02-01,204.214996,220.929001,199.820999,201.839996,180.693588,7393624
2013-03-01,201.785995,206.856995,188.570999,199.356995,180.783508,6647592
2013-04-01,192.179001,192.843994,169.375000,192.345001,174.424774,9537640
2013-05-01,192.345001,209.485992,183.770004,207.171997,187.870407,7133952
2013-06-01,204.856995,206.356995,182.335007,184.147003,169.582672,3563504
2013-07-01,185.714005,209.820999,185.250000,206.263000,189.949524,5347580
2013-08-01,207.688995,239.893005,204.250000,232.427994,214.045044,6317108
2013-09-01,232.427994,239.807007,206.820999,223.214005,208.568542,4543140
2013-10-01,225.455002,248.214005,223.843994,244.104004,228.087952,6016388
2013-11-01,243.820999,261.250000,238.360001,259.893005,242.840958,3798368
2013-12-01,265.356995,267.856995,250.401001,262.014008,251.008896,3306744
2014-01-01,262.014008,267.856995,236.070999,238.867996,228.835052,6154008
2014-02-01,238.867996,259.928986,238.867996,248.750000,238.301987,2922052
2014-03-01,248.960007,257.154999,247.000000,251.000000,243.503418,1624840
2014-04-01,250.209000,279.701996,239.714005,275.959991,267.717896,2789612
2014-05-01,275.959991,295.713989,268.928986,291.250000,282.551178,10710056
2014-06-01,289.286011,309.250000,287.250000,302.049988,296.588806,2184748
2014-07-01,303.747009,323.750000,301.242004,315.769989,310.060791,2330924
2014-08-01,314.100006,336.750000,310.000000,335.119995,329.060913,1797056
2014-09-01,337.500000,342.299988,319.250000,339.000000,333.369232,3326580
2014-10-01,336.527008,363.674988,324.487000,363.420013,357.383606,2370784
2014-11-01,366.975006,414.742004,366.302002,414.742004,407.853119,1622312
2014-12-01,414.742004,422.497009,389.774994,411.872009,405.546722,2333156
2015-01-01,411.872009,450.000000,384.000000,438.632996,431.896759,3639032
2015-02-01,438.632996,501.447998,433.500000,479.207001,471.847565,2472252
2015-03-01,483.421997,500.997009,460.141998,475.825012,469.013855,1858312
2015-04-01,469.687988,513.500000,457.500000,479.714996,472.848145,2447420
2015-05-01,479.714996,507.600006,470.750000,503.002991,495.802765,1835544
2015-06-01,504.750000,510.472992,484.024994,493.812012,487.272003,1711876
2015-07-01,496.250000,532.349976,473.250000,488.828003,482.354034,3162124
2015-08-01,488.000000,492.500000,395.000000,472.557007,466.298492,4019284
2015-09-01,469.777008,492.421997,457.500000,464.516998,458.869019,2514952
2015-10-01,463.992004,502.000000,447.500000,494.609985,488.596130,2757768
2015-11-01,494.609985,514.458008,470.000000,491.440002,485.464722,1364124
2015-12-01,490.000000,504.250000,450.750000,455.214996,450.145111,1823156
2016-01-01,455.214996,468.825012,423.750000,440.000000,435.099609,2861568
2016-02-01,440.000000,457.195007,427.953003,440.377991,435.473419,1466588
2016-03-01,438.750000,475.500000,438.750000,471.399994,466.702728,1253604
2016-04-01,473.299988,492.500000,397.100006,402.972992,398.957550,2616316
2016-05-01,402.500000,464.625000,398.700012,458.937988,454.364990,4025784
2016-06-01,460.000000,465.750000,433.750000,437.087006,433.321014,1266504
2016-07-01,433.750000,493.345001,432.252991,488.000000,483.795349,2035392
