Date,Open,High,Low,Close,Adj Close,Volume
2012-04-01,185.570999,192.856995,156.143005,156.143005,156.143005,7000
2012-05-01,140.591003,148.929993,129.285995,129.970993,129.970993,84665
2012-06-01,129.119003,134.259003,123.286003,129.856995,129.856995,112896
2012-07-01,129.856995,171.429001,109.613998,113.286003,113.286003,216608
2012-08-01,103.814003,122.429001,103.814003,120.000000,120.000000,56840
2012-09-01,120.000000,120.000000,101.650002,101.650002,101.650002,42819
2012-10-01,101.650002,135.042999,101.650002,127.142998,127.142998,529284
2012-11-01,144.570999,160.785995,142.429001,147.856995,147.856995,80430
2012-12-01,147.856995,175.171005,147.856995,168.296005,168.296005,127393
2013-01-01,168.296005,319.269989,168.296005,297.571014,297.571014,631246
2013-02-01,297.571014,354.713989,297.571014,340.850006,340.850006,259224
2013-03-01,343.428986,346.428986,318.713989,336.571014,336.571014,67676
2013-04-01,325.713989,381.428986,279.428986,373.571014,373.571014,139853
2013-05-01,373.571014,418.000000,357.143005,418.000000,418.000000,21623
2013-06-01,418.000000,430.571014,410.000000,430.571014,430.571014,1498
2013-07-01,430.571014,478.428986,430.571014,448.571014,448.571014,164668
2013-08-01,453.571014,542.570984,443.143005,529.077026,529.077026,254156
2013-09-01,529.077026,583.385986,529.077026,581.286011,581.286011,80556
2013-10-01,599.356995,676.429016,537.656982,605.000000,605.000000,181643
2013-11-01,614.286987,686.143005,614.286987,685.713989,685.713989,74522
2013-12-01,685.713989,712.856995,653.570984,712.713989,712.713989,104258
2014-01-01,712.713989,781.429016,612.143005,781.429016,781.429016,73843
2014-02-01,781.429016,862.286011,772.396973,846.429016,846.429016,34944
2014-03-01,834.926025,860.429016,655.570984,655.570984,655.570984,142863
2014-04-01,666.429016,707.143005,563.570984,595.599976,595.599976,478205
2014-05-01,595.599976,765.000000,592.856995,765.000000,765.000000,92176
2014-06-01,778.049011,841.429016,769.994019,818.856995,818.856995,24318
2014-07-01,846.713989,879.286011,759.286011,800.000000,800.000000,175035
2014-08-01,803.400024,907.143005,799.429016,889.570984,889.570984,281834
2014-09-01,889.570984,920.570984,834.306030,864.856995,864.856995,248227
2014-10-01,847.856995,895.429016,662.856995,757.429016,757.429016,205842
2014-11-01,754.106995,761.429016,674.286011,688.414001,688.414001,179963
2014-12-01,679.143982,722.856995,669.426025,722.856995,722.856995,47915
2015-01-01,722.856995,951.429016,664.000000,948.570984,948.570984,703731
2015-02-01,948.570984,1034.290039,935.000000,1025.709961,1025.709961,45906
2015-03-01,1010.859985,1028.290039,889.143005,920.140991,920.140991,145243
2015-04-01,891.429016,1259.660034,883.570984,1231.430054,1231.430054,350805
2015-05-01,1231.430054,1382.859985,1219.979980,1371.459961,1371.459961,99694
2015-06-01,1371.459961,1561.219971,1362.760010,1477.140015,1477.140015,465346
2015-07-01,1498.569946,1850.410034,1464.290039,1848.699951,1848.699951,284469
2015-08-01,1825.000000,2105.989990,1550.000000,1923.310059,1923.310059,264826
2015-09-01,1890.000000,1890.000000,1574.199951,1737.630005,1737.630005,301361
2015-10-01,1708.000000,1904.000000,1589.400024,1797.250000,1797.250000,450794
2015-11-01,1797.250000,2091.590088,1728.000000,2040.109985,2040.109985,186060
2015-12-01,2053.000000,2236.000000,1975.000000,2035.000000,2035.000000,129964
2016-01-01,2035.000000,2150.010010,1650.000000,1661.530029,1661.530029,473742
2016-02-01,1661.530029,1770.000000,1485.010010,1701.510010,1701.510010,284712
2016-03-01,1699.000000,1812.800049,1681.000000,1770.000000,1770.000000,209565
2016-04-01,1782.000000,1968.000000,1516.000000,1549.949951,1549.949951,285347
2016-05-01,1570.000000,1914.000000,1544.290039,1890.160034,1890.160034,277527
2016-06-01,1880.000000,1898.800049,1622.000000,1666.000000,1666.000000,163631
2016-07-01,1725.500000,1886.790039,1570.000000,1711.979980,1711.979980,223282
2016-08-01,1730.000000,1850.500000,1700.000000,1830.079956,1830.079956,91709
2016-09-01,1815.000000,1969.000000,1801.020020,1912.000000,1912.000000,77583
2016-10-01,1930.890015,2412.719971,1859.849976,2364.000000,2364.000000,151825
2016-11-01,2384.800049,2495.979980,2281.000000,2440.000000,2440.000000,28325
2016-12-01,2450.000000,2689.989990,2373.000000,2558.000000,2558.000000,39242
2017-01-01,2558.000000,3130.000000,2558.000000,2917.020020,2917.020020,209612
2017-02-01,2948.600098,2980.000000,2784.000000,2860.000000,2860.000000,31220
2017-03-01,2860.000000,2860.000000,2665.000000,2776.000000,2776.000000,74562
2017-04-01,2761.989990,2924.989990,2614.000000,2855.000000,2855.000000,53103
2017-05-01,2855.000000,3065.000000,2855.000000,3044.989990,3044.989990,75662
2017-06-01,3020.610107,3094.000000,2677.000000,2767.979980,2767.979980,137745
2017-07-01,2700.000000,3366.570068,2625.639893,3239.510010,3239.510010,184740
2017-08-01,3245.520020,3278.010010,2901.000000,3124.290039,3124.290039,87225
2017-09-01,3130.000000,3395.000000,3050.000000,3297.540039,3297.540039,42724
