02,17,844
21,05,1759
01,08,1464
07,20,277
11,14,1300
11,07,1871
18,15,1288
03,00,98
20,00,90
29,07,1513
02,19,430
15,19,653
30,00,75
31,11,1173
05,18,785
04,04,1440
07,19,418
11,19,502
19,05,1568
28,04,1130
31,13,970
31,05,1334
30,17,886
07,00,103
16,14,1638
18,10,1705
09,10,1619
19,17,952
21,22,99
25,01,189
11,18,825
19,16,1162
25,22,122
29,04,1144
31,03,737
11,09,1936
24,19,573
16,18,949
17,06,2145
15,07,2052
01,19,422
17,17,1166
12,01,212
12,16,1125
21,06,1782
26,04,1337
03,02,428
13,14,1459
09,12,1266
28,03,776
31,19,481
02,12,1062
18,05,1740
31,00,85
13,09,2440
04,06,1667
17,15,1371
11,16,1238
22,03,1015
02,02,425
18,01,135
09,14,1100
12,10,1712
13,13,1642
15,00,113
04,17,1078
16,20,295
10,12,1119
22,22,87
26,22,157
10,14,1095
20,05,1766
20,09,1796
26,14,1136
27,03,764
31,12,1037
06,19,463
11,23,89
29,11,1361
07,01,184
23,14,1243
02,07,1330
03,07,1273
09,17,868
11,17,1051
20,12,1510
21,08,1746
25,16,1174
15,10,1451
30,05,1354
08,19,512
23,07,1760
03,23,125
06,18,686
23,10,1776
01,20,251
07,22,79
20,11,1634
20,16,1128
09,02,478
21,12,1458
04,05,1620
22,00,133
27,22,137
16,22,140
16,05,1829
22,08,1822
22,10,1814
27,13,1297
03,17,780
27,11,1555
05,11,1442
04,09,2128
18,20,344
19,00,87
19,15,1236
23,09,1786
25,20,315
26,15,1102
30,13,1137
05,20,384
06,08,1698
07,18,687
11,15,1305
12,21,207
22,11,1628
24,18,854
13,20,421
11,22,135
18,16,1223
23,20,345
31,22,118
12,15,1226
09,03,975
25,02,442
29,00,83
30,15,1149
23,16,1258
24,22,106
08,04,1255
23,00,103
27,09,1765
27,00,97
04,16,1260
18,06,1737
24,06,1872
25,14,1371
28,02,328
01,17,803
05,22,145
01,23,64
28,05,1465
01,07,1409
15,18,969
18,09,1857
23,13,1314
30,07,1441
06,13,1084
06,10,1606
25,05,1557
26,00,93
31,18,758
07,21,141
11,21,235
08,09,1829
26,03,878
06,01,161
15,20,405
04,00,118
07,11,1382
13,05,1702
28,11,1412
04,13,1790
06,23,101
16,02,601
10,02,476
11,00,141
28,12,1200
06,17,919
09,11,1316
20,18,888
25,18,834
27,19,618
29,22,133
11,20,358
29,13,1046
05,10,1629
20,17,1056
20,19,658
21,20,312
23,01,166
16,15,1614
15,05,1767
17,01,127
14,12,1622
14,21,214
17,21,221
19,11,1635
24,04,1362
27,14,1217
27,23,79
29,08,1535
30,18,698
05,00,118
19,23,105
24,05,978
27,04,1274
02,03,824
02,10,1467
08,02,493
09,16,1049
24,01,220
01,06,1393
03,06,1357
13,18,902
11,08,1829
21,19,535
22,04,1400
31,20,222
17,14,1390
17,11,1850
18,08,1928
07,09,1639
24,09,1760
24,13,1219
03,09,1459
15,09,2041
05,05,1532
28,19,518
05,04,1443
06,15,1128
09,15,1143
22,14,1293
26,02,468
20,15,1270
21,11,1613
25,04,1282
30,06,1500
13,04,1350
25,23,96
14,15,1389
11,03,1133
29,20,267
26,08,1755
23,15,1248
22,09,1802
30,23,76
02,23,63
03,14,897
04,15,1302
14,17,1166
08,17,967
09,05,1501
03,12,983
16,23,93
20,14,1275
22,05,1677
29,19,372
29,09,1498
09,18,717
21,14,1321
19,06,1803
24,10,1631
30,12,1173
02,01,183
03,13,973
09,20,280
10,17,890
19,21,236
05,07,1854
14,13,1507
17,02,552
07,15,1110
20,02,385
20,06,1675
25,11,1519
26,09,1142
24,21,222
31,15,1092
04,19,589
07,12,1172
10,04,1230
11,12,1378
09,23,77
18,17,1138
02,20,193
14,03,1166
10,10,1446
09,08,1708
03,04,1070
14,19,584
14,08,2185
10,11,1274
23,12,1408
27,17,1024
02,16,919
12,06,1833
24,20,373
11,11,1691
19,03,982
02,09,1588
24,16,1140
29,01,156
09,07,1711
19,09,1844
27,21,215
31,23,97
05,17,963
02,08,1320
07,06,1469
14,18,892
20,07,1855
31,06,1333
01,05,1276
02,14,971
14,07,1901
16,07,2167
17,09,2283
28,07,1584
29,03,824
15,23,126
18,00,80
12,08,1970
12,23,84
21,03,1075
24,08,1825
25,21,207
07,07,1603
17,05,2014
11,06,1872
